uid,gid,player,team,details,pstat,gstat
83,3995,DP-0350,MIA,Foot,Full Participation in Practice,Probable
84,3995,BA-0200,MIA,Knee,Full Participation in Practice,Probable
85,3995,LJ-0350,MIA,Shoulder,Full Participation in Practice,Probable
86,3995,JT-0850,MIA,Thigh,Full Participation in Practice,Probable
87,3995,TC-2350,WAS,Calf,Did Not Participate In Practice,Questionable
88,3995,RG-1850,WAS,Concussion,Full Participation in Practice,Probable
89,3995,KL-1000,WAS,Finger,Full Participation in Practice,Probable
90,3995,FK-0100,WAS,Shoulder,Full Participation in Practice,Probable
91,3995,JJ-1150,WAS,Thigh,Full Participation in Practice,Questionable
92,3996,JN-1750,CAR,Concussion,Full Participation in Practice,Probable
93,3996,SL-0950,CAR,Foot,Did Not Participate In Practice,Out
94,3996,TW-2250,CAR,Groin,Full Participation in Practice,Probable
95,3996,NC-0150,CAR,Knee,Did Not Participate In Practice,Out
96,3996,RK-0100,CAR,Knee,Full Participation in Practice,Probable
97,3996,RB-3100,CAR,Shoulder,Did Not Participate In Practice,Out
98,3996,TG-0600,JAC,Abdomen,Limited Participation in Practice,Questionable
99,3996,MB-1900,JAC,Ankle,Full Participation in Practice,Probable
100,3996,JC-6400,JAC,Finger,Full Participation in Practice,Probable
101,3996,BW-0400,JAC,Hamstring,Full Participation in Practice,Probable
102,3996,ML-0650,JAC,Hamstring,Did Not Participate In Practice,Doubtful
103,3996,JT-2000,JAC,Hand,Did Not Participate In Practice,Out
104,3996,AB-2730,JAC,Knee,Did Not Participate In Practice,Out
105,3996,LR-0350,JAC,Knee,Full Participation in Practice,Probable
106,3996,SM-0500,JAC,Knee,Did Not Participate In Practice,Out
107,3997,TJ-0300,SEA,Ankle,Full Participation in Practice,Probable
108,3997,MM-5200,SEA,Hamstring,Out (Definitely Will Not Play),Out
109,3997,CH-2350,SEA,Knee,Full Participation in Practice,Probable
110,3997,ML-2500,SEA,Not Injury Related,Full Participation in Practice,Probable
111,3997,TS-1650,SEA,Toe,Limited Participation in Practice,Questionable
112,3997,DB-0975,STL,Knee,Limited Participation in Practice,Questionable
113,3997,TG-1950,STL,Knee,Limited Participation in Practice,Out
114,3997,TM-0650,STL,Thigh,Did Not Participate In Practice,Questionable
115,3998,JG-3700,ARI,Hamstring,Limited Participation in Practice,Questionable
116,3998,TN-0550,ARI,Hamstring,Limited Participation in Practice,Questionable
117,3998,MF-0950,ARI,Hand,Limited Participation in Practice,Questionable
118,3998,MI-0200,ARI,Knee,Did Not Participate In Practice,Out
119,3998,IM-0300,ARI,,Did Not Participate In Practice,
120,3998,KL-0600,NO,Hip,Did Not Participate In Practice,Out
121,3998,CS-3400,NO,Knee,Did Not Participate In Practice,Out
122,3998,JB-8800,NO,Knee,Did Not Participate In Practice,Out
123,3998,TH-1600,NO,Knee,Full Participation in Practice,Probable
124,3998,DT-1985,NO,Shoulder,Did Not Participate In Practice,Out
125,3998,DE-0600,NO,Toe,Did Not Participate In Practice,Out
126,3999,CR-0650,DET,Ankle,Did Not Participate In Practice,Out
127,3999,EE-0050,DET,Ankle,Full Participation in Practice,Probable
128,3999,LW-0350,DET,Ankle,Did Not Participate In Practice,Out
129,3999,LW-0050,DET,Elbow,Full Participation in Practice,Questionable
130,3999,TW-1750,DET,Elbow,Full Participation in Practice,Probable
131,3999,DL-1200,DET,Hip,Did Not Participate In Practice,Doubtful
132,3999,LG-0750,SD,Concussion,Full Participation in Practice,Questionable
133,3999,TW-2650,SD,Foot,Did Not Participate In Practice,Out
134,3999,JT-3450,SD,Forearm,Did Not Participate In Practice,Out
135,3999,CM-0150,SD,Hamstring,Limited Participation in Practice,Questionable
136,3999,JA-2825,SD,Hamstring,Limited Participation in Practice,Questionable
137,4000,ME-0600,TB,Hamstring,Limited Participation in Practice,Questionable
138,4000,MJ-0900,TB,Hamstring,Did Not Participate In Practice,Questionable
139,4000,GJ-0800,TB,Illness,Did Not Participate In Practice,Probable
140,4000,TF-0150,TB,Shoulder,Did Not Participate In Practice,Out
141,4000,JM-2800,TEN,Groin,Did Not Participate In Practice,Doubtful
142,4000,AA-1350,TEN,Hamstring,Limited Participation in Practice,Questionable
143,4000,PC-0800,TEN,Hip,Limited Participation in Practice,Questionable
144,4000,AG-0250,TEN,Illness,Full Participation in Practice,Probable
145,4000,SH-1000,TEN,Knee,Did Not Participate In Practice,Out
146,4001,AW-1100,CIN,Back,Full Participation in Practice,Probable
147,4001,LH-0300,CIN,Back,Full Participation in Practice,Probable
148,4001,DD-0950,CIN,Groin,Full Participation in Practice,Probable
149,4001,JS-2050,CIN,Groin,Did Not Participate In Practice,Questionable
150,4001,RN-0300,CIN,Groin,Full Participation in Practice,Probable
151,4001,EL-0060,CIN,Hamstring,Full Participation in Practice,Probable
152,4001,CD-2200,CIN,Illness,Full Participation in Practice,Probable
153,4001,MH-0850,CIN,Knee,Did Not Participate In Practice,Out
154,4001,MJ-1800,CIN,Knee,Full Participation in Practice,Probable
155,4001,JT-3800,OAK,Calf,Full Participation in Practice,Probable
156,4001,AH-3600,OAK,Hand,Full Participation in Practice,Probable
157,4001,BM-0750,OAK,Knee,Did Not Participate In Practice,Out
158,4001,CW-0225,OAK,Knee,Full Participation in Practice,Probable
159,4002,BP-0450,BAL,Knee,Did Not Participate In Practice,Out
160,4002,LT-0050,BAL,Knee,Limited Participation in Practice,Out
161,4002,TJ-1025,BAL,Knee,Limited Participation in Practice,Doubtful
162,4002,CC-0500,BAL,Not Injury Related,Full Participation in Practice,Probable
163,4002,DS-2700,BAL,Not Injury Related,Full Participation in Practice,Probable
164,4002,RM-3850,BAL,Thigh,Limited Participation in Practice,Doubtful
165,4002,MH-2350,DEN,Finger,Full Participation in Practice,Probable
166,4002,BM-0330,DEN,Foot,Full Participation in Practice,Probable
167,4002,LM-1020,DEN,Groin,Limited Participation in Practice,Questionable
168,4002,AC-0100,DEN,Illness,Full Participation in Practice,Probable
169,4002,KA-0950,DEN,Knee,Did Not Participate In Practice,Out
170,4002,OB-0150,DEN,Rib cage,Full Participation in Practice,Probable
171,4003,DS-4750,DAL,Ankle,Full Participation in Practice,Probable
172,4003,TR-0800,DAL,Back,Full Participation in Practice,Probable
173,4003,BW-0850,DAL,Concussion,Full Participation in Practice,Probable
174,4003,AH-3350,DAL,Foot,Full Participation in Practice,Probable
175,4003,JM-4950,DAL,Foot,Full Participation in Practice,Probable
176,4003,DB-5300,DAL,Hamstring,Full Participation in Practice,Probable
177,4003,JH-0860,DAL,Knee,Full Participation in Practice,Probable
178,4003,DM-1400,DAL,Neck,Full Participation in Practice,Probable
179,4003,JW-3050,DAL,Neck,Full Participation in Practice,Probable
180,4003,ZM-0050,DAL,Neck,Full Participation in Practice,Probable
181,4003,VC-0300,NYG,Calf,Did Not Participate In Practice,Out
182,4003,OO-0200,NYG,Foot,Limited Participation in Practice,Probable
183,4003,CJ-0900,NYG,Hamstring,Full Participation in Practice,Probable
184,4003,JB-2000,NYG,Knee,Did Not Participate In Practice,Out
185,4003,JC-1800,NYG,Neck,Full Participation in Practice,Probable
186,4004,JM-1450,ATL,Back,Full Participation in Practice,Probable
187,4004,RW-2200,ATL,Elbow,Full Participation in Practice,Probable
188,4004,BR-0200,ATL,Groin,Did Not Participate In Practice,Out
189,4004,RT-0475,ATL,Groin,Full Participation in Practice,Probable
190,4004,DF-1875,ATL,Hamstring,Full Participation in Practice,Probable
191,4004,JB-1550,ATL,Quadricep,Full Participation in Practice,Probable
192,4004,DH-2700,ATL,Toe,Did Not Participate In Practice,Out
193,4004,ZE-0100,PHI,Groin,Full Participation in Practice,Questionable
194,4004,MS-2550,PHI,Hamstring,Full Participation in Practice,Questionable
195,4005,MP-2350,MIN,Ankle,Full Participation in Practice,Probable
196,4005,SS-2750,MIN,Knee,Full Participation in Practice,Probable
197,4005,ZL-0200,MIN,Knee,Full Participation in Practice,Probable
198,4005,CF-0850,MIN,Shoulder,Full Participation in Practice,Probable
199,4005,TB-2700,SF,Hamstring,Full Participation in Practice,Probable
200,4006,CA-0750,DEN,Ankle,Limited Participation in Practice,Questionable
201,4006,PM-0200,DEN,Back,Full Participation in Practice,Probable
202,4006,BM-0330,DEN,Foot,Full Participation in Practice,Probable
203,4006,OB-0150,DEN,Foot,Did Not Participate In Practice,Doubtful
204,4006,DS-4300,DEN,Groin,Limited Participation in Practice,Questionable
205,4006,LM-1020,DEN,Groin,Full Participation in Practice,Probable
206,4006,DT-0900,DEN,Hand,Full Participation in Practice,Probable
207,4006,MJ-0030,DEN,Head,Limited Participation in Practice,Questionable
208,4006,DB-5100,DEN,Hip,Full Participation in Practice,Probable
209,4006,KA-0950,DEN,Knee,Did Not Participate In Practice,Out
210,4006,CW-1450,KC,Achilles,Full Participation in Practice,Probable
211,4006,JM-1600,KC,Achilles,Full Participation in Practice,Probable
212,4006,EF-0050,KC,Ankle,Full Participation in Practice,Probable
213,4006,DP-1450,KC,Back,Full Participation in Practice,Probable
214,4006,JM-0200,KC,Back,Full Participation in Practice,Probable
215,4006,DT-0850,KC,Calf,Full Participation in Practice,Probable
216,4006,DH-1450,KC,Foot,Full Participation in Practice,Probable
217,4006,DA-0350,KC,Hamstring,Full Participation in Practice,Probable
218,4006,JA-2900,KC,Hip,Full Participation in Practice,Probable
219,4006,TK-0150,KC,Hip,Full Participation in Practice,Probable
220,4006,JA-1050,KC,Knee,Full Participation in Practice,Probable
221,4006,TH-0200,KC,Neck,Full Participation in Practice,Probable
222,4006,HA-0200,KC,Quadricep,Full Participation in Practice,Probable
223,4006,AW-1650,KC,Shoulder,Full Participation in Practice,Probable
224,4007,LK-0600,CAR,Concussion,Did Not Participate In Practice,Doubtful
225,4007,SL-0950,CAR,Foot,Limited Participation in Practice,Questionable
226,4007,DE-0500,CAR,Groin,Full Participation in Practice,Probable
227,4007,DW-3450,CAR,Knee,Did Not Participate In Practice,Out
228,4007,JS-6700,CAR,Knee,Full Participation in Practice,Probable
229,4007,RB-3100,CAR,Shoulder,Limited Participation in Practice,Questionable
230,4007,WH-0850,CAR,Shoulder,Limited Participation in Practice,Questionable
231,4007,NC-0150,CAR,,Did Not Participate In Practice,
232,4007,JA-0230,HOU,Abdomen,Full Participation in Practice,Probable
233,4007,NW-0100,HOU,Abdomen,Full Participation in Practice,Probable
234,4007,MM-4000,HOU,Calf,Did Not Participate In Practice,Out
235,4007,XS-0100,HOU,Calf,Did Not Participate In Practice,Out
236,4007,CT-1025,HOU,Concussion,Full Participation in Practice,Probable
237,4007,AF-0900,HOU,Groin,Limited Participation in Practice,Out
238,4007,DB-4900,HOU,Hand,Did Not Participate In Practice,Questionable
239,4007,LB-0150,HOU,Knee,Did Not Participate In Practice,Out
240,4007,CC-4550,HOU,Shoulder,Full Participation in Practice,Probable
241,4007,KJ-0650,HOU,Thigh,Full Participation in Practice,Probable
242,4008,LJ-1250,PIT,Concussion,Full Participation in Practice,Probable
243,4008,WA-0100,PIT,Concussion,Full Participation in Practice,Probable
244,4008,BB-2530,PIT,Groin,Full Participation in Practice,Probable
245,4008,SS-2450,PIT,Hamstring,Full Participation in Practice,Probable
246,4008,MM-3800,PIT,Hip,Full Participation in Practice,Probable
247,4008,CA-0600,PIT,Knee,Limited Participation in Practice,Questionable
248,4008,RS-0962,PIT,Knee,Full Participation in Practice,Probable
249,4008,BE-0350,SF,Ankle,Did Not Participate In Practice,Questionable
250,4008,RB-4900,SF,Calf,Did Not Participate In Practice,Out
251,4009,KL-0600,NO,Hip,Did Not Participate In Practice,Out
252,4009,CS-3400,NO,Knee,Limited Participation in Practice,Questionable
253,4009,JB-8800,NO,Knee,Did Not Participate In Practice,Out
254,4009,DE-0600,NO,Toe,Did Not Participate In Practice,Out
255,4009,MW-3600,TB,Abdomen,Did Not Participate In Practice,Out
256,4009,DL-0400,TB,Ankle,Full Participation in Practice,Questionable
257,4009,ME-0600,TB,Hamstring,Limited Participation in Practice,Questionable
258,4009,MJ-0900,TB,Hamstring,Limited Participation in Practice,Questionable
259,4009,BC-0600,TB,Ribs,Full Participation in Practice,Questionable
260,4009,TF-0150,TB,Shoulder,Did Not Participate In Practice,Out
261,4010,CR-0650,DET,Ankle,Limited Participation in Practice,Questionable
262,4010,DS-2250,DET,Ankle,Limited Participation in Practice,Probable
263,4010,LW-0350,DET,Ankle,Full Participation in Practice,Probable
264,4010,LW-0050,DET,Elbow,Full Participation in Practice,Probable
265,4010,BP-0600,DET,Hamstring,Did Not Participate In Practice,Out
266,4010,DL-1200,DET,Hip,Did Not Participate In Practice,Doubtful
267,4010,GT-0100,DET,Quadricep,Limited Participation in Practice,Probable
268,4010,MS-4100,DET,Right Upper Arm,Full Participation in Practice,Probable
269,4010,HN-0300,DET,Shoulder,Limited Participation in Practice,Questionable
270,4010,JM-3450,MIN,Ankle,Full Participation in Practice,Probable
271,4010,SS-2750,MIN,Knee,Full Participation in Practice,Probable
272,4011,DB-5450,ARI,Groin,Limited Participation in Practice,Questionable
273,4011,JG-3700,ARI,Hamstring,Full Participation in Practice,Probable
274,4011,TJ-0950,ARI,Hamstring,Limited Participation in Practice,Questionable
275,4011,TN-0550,ARI,Hamstring,Full Participation in Practice,Probable
276,4011,MF-0950,ARI,Hand,Full Participation in Practice,Probable
277,4011,AE-0750,ARI,Knee,Did Not Participate In Practice,Out
278,4011,MI-0200,ARI,Knee,Limited Participation in Practice,Out
279,4011,JB-4550,CHI,Ankle,Did Not Participate In Practice,Out
280,4011,JB-8200,CHI,Back,Did Not Participate In Practice,Probable
281,4011,AJ-0430,CHI,Hamstring,Did Not Participate In Practice,Questionable
282,4011,TP-2000,CHI,Hamstring,Did Not Participate In Practice,Out
283,4011,SA-0100,CHI,Illness,Full Participation in Practice,Probable
284,4011,EF-0010,CHI,Knee,Did Not Participate In Practice,Questionable
285,4011,SM-2300,CHI,Thigh,Full Participation in Practice,Probable
286,4011,PM-0500,CHI,Wrist,Did Not Participate In Practice,Questionable
287,4012,CG-1700,BUF,Concussion,Full Participation in Practice,Probable
288,4012,LM-1000,BUF,Hamstring,Limited Participation in Practice,Questionable
289,4012,PH-0400,BUF,Hip,Full Participation in Practice,Probable
290,4012,TS-3275,BUF,Knee,Did Not Participate In Practice,Out
291,4012,MG-1050,BUF,Ribs,Did Not Participate In Practice,Out
292,4012,DE-0050,NE,Hip,Limited Participation in Practice,Doubtful
293,4012,RW-1600,NE,Illness,Did Not Participate In Practice,Out
294,4012,TF-0750,NE,Knee,Full Participation in Practice,Probable
295,4012,TW-3250,NE,Quadricep,Full Participation in Practice,Probable
296,4013,GI-1300,CIN,Ankle,Limited Participation in Practice,Questionable
297,4013,DK-0750,CIN,Calf,Full Participation in Practice,Probable
298,4013,JS-2050,CIN,Groin,Limited Participation in Practice,Questionable
299,4013,RN-0300,CIN,Groin,Full Participation in Practice,Probable
300,4013,MH-0850,CIN,Knee,Did Not Participate In Practice,Out
301,4013,AW-1100,CIN,,Limited Participation in Practice,
302,4013,LH-0300,CIN,,Limited Participation in Practice,
303,4013,DF-1250,SD,Ankle,Did Not Participate In Practice,Doubtful
304,4013,JA-0280,SD,Ankle,Did Not Participate In Practice,Doubtful
305,4013,JJ-3900,SD,Ankle,Did Not Participate In Practice,Doubtful
306,4013,TW-2650,SD,Foot,Did Not Participate In Practice,Out
307,4013,JT-3450,SD,Forearm,Did Not Participate In Practice,Out
308,4013,CM-0150,SD,Hamstring,Full Participation in Practice,Probable
309,4013,JA-2825,SD,Hamstring,Full Participation in Practice,Probable
310,4013,BF-0800,SD,Knee,Full Participation in Practice,Probable
311,4013,KE-0550,SD,Shoulder,Limited Participation in Practice,Questionable
312,4014,RT-1950,CLE,Ankle,Out (Definitely Will Not Play),Out
313,4014,SS-2350,CLE,Ankle,Out (Definitely Will Not Play),Out
314,4014,NO-0300,CLE,Back,Full Participation in Practice,Probable
315,4014,JM-2900,CLE,Concussion,Out (Definitely Will Not Play),Out
316,4014,KD-0100,CLE,Foot,Limited Participation in Practice,Questionable
317,4014,DB-3200,CLE,Hamstring,Limited Participation in Practice,Questionable
318,4014,JG-1250,CLE,Hip,Limited Participation in Practice,Questionable
319,4014,JB-3550,CLE,Knee,Full Participation in Practice,Probable
320,4014,JM-0850,CLE,Right Elbow,Full Participation in Practice,Probable
321,4014,DB-5200,CLE,Shoulder,Limited Participation in Practice,Questionable
322,4014,MS-0550,CLE,Thumb,Full Participation in Practice,Probable
323,4014,JT-1600,CLE,,Full Participation in Practice,
324,4014,RS-2800,CLE,,Full Participation in Practice,
325,4014,JM-2800,TEN,Groin,Did Not Participate In Practice,Doubtful
326,4014,AA-1350,TEN,Hamstring,Did Not Participate In Practice,Out
327,4014,DW-0500,TEN,Hand,Full Participation in Practice,Questionable
328,4014,CR-0875,TEN,Knee,Did Not Participate In Practice,Out
329,4014,SH-1000,TEN,Knee,Did Not Participate In Practice,Out
330,4015,JM-1450,ATL,Back,Full Participation in Practice,Probable
331,4015,MG-0950,ATL,Elbow,Did Not Participate In Practice,Out
332,4015,BR-0200,ATL,Groin,Did Not Participate In Practice,Out
333,4015,JJ-4700,ATL,Hamstring,Full Participation in Practice,Probable
334,4015,OS-0400,ATL,Hip,Full Participation in Practice,Probable
335,4015,WM-1000,ATL,Illness,Full Participation in Practice,Probable
336,4015,AC-1500,ATL,Thumb,Full Participation in Practice,Probable
337,4015,DH-2700,ATL,Toe,Did Not Participate In Practice,Out
338,4015,EF-0075,NYG,Ankle,Full Participation in Practice,Probable
339,4015,VC-0300,NYG,Calf,Did Not Participate In Practice,Out
340,4015,DF-0500,NYG,Foot,Did Not Participate In Practice,Out
341,4015,OO-0200,NYG,Foot,Did Not Participate In Practice,Out
342,4015,JB-2000,NYG,Knee,Limited Participation in Practice,Doubtful
343,4015,MK-1700,NYG,Knee,Did Not Participate In Practice,Out
344,4015,UU-0100,NYG,Knee,Full Participation in Practice,Probable
345,4016,TJ-2250,STL,Concussion,Full Participation in Practice,Probable
346,4016,CR-0750,STL,Knee,Did Not Participate In Practice,Out
347,4016,DB-0975,STL,Knee,Full Participation in Practice,Probable
348,4016,ES-0800,STL,Knee,Did Not Participate In Practice,Out
349,4016,TG-1950,STL,Knee,Full Participation in Practice,Questionable
350,4016,TM-0650,STL,Thigh,Full Participation in Practice,Questionable
351,4016,TW-2800,WAS,Ankle,Full Participation in Practice,Probable
352,4016,TC-2350,WAS,Calf,Limited Participation in Practice,Questionable
353,4016,MS-3450,WAS,Concussion,Did Not Participate In Practice,Out
354,4016,KL-1000,WAS,Finger,Full Participation in Practice,Probable
355,4016,JR-3100,WAS,Foot,Did Not Participate In Practice,Out
356,4016,DJ-0200,WAS,Hamstring,Did Not Participate In Practice,Out
357,4016,JR-1150,WAS,Quadricep,Limited Participation in Practice,Questionable
358,4016,DH-0700,WAS,Rib,Full Participation in Practice,Probable
359,4016,TK-0800,WAS,Rib,Limited Participation in Practice,Questionable
360,4016,JJ-1150,WAS,Thigh,Full Participation in Practice,Questionable
361,4017,TG-0600,JAC,Abdomen,Did Not Participate In Practice,Doubtful
362,4017,DG-2450,JAC,Ankle,Did Not Participate In Practice,Out
363,4017,LJ-0750,JAC,Ankle,Did Not Participate In Practice,Questionable
364,4017,RG-1812,JAC,Back,Full Participation in Practice,Probable
365,4017,TA-0825,JAC,Back,Limited Participation in Practice,Questionable
366,4017,JC-6400,JAC,Finger,Did Not Participate In Practice,Doubtful
367,4017,ML-0650,JAC,Hamstring,Limited Participation in Practice,Probable
368,4017,JT-2000,JAC,Hand,Limited Participation in Practice,Out
369,4017,JE-1200,JAC,Illness,Full Participation in Practice,Probable
370,4017,AB-2730,JAC,Knee,Did Not Participate In Practice,Out
371,4017,SM-0500,JAC,Knee,Did Not Participate In Practice,Out
372,4017,AC-2250,JAC,,Full Participation in Practice,
373,4017,AR-1250,JAC,,Full Participation in Practice,
374,4017,TY-0150,JAC,,Full Participation in Practice,
375,4017,OV-0200,MIA,Ankle,Limited Participation in Practice,Probable
376,4017,DS-2170,MIA,Concussion,Did Not Participate In Practice,Out
377,4017,DS-1760,MIA,Eye,Limited Participation in Practice,Questionable
378,4017,CW-0100,MIA,Hamstring,Limited Participation in Practice,Questionable
379,4017,RJ-2000,MIA,Hamstring,Limited Participation in Practice,Questionable
380,4018,DW-0675,BAL,Ankle,Limited Participation in Practice,Questionable
381,4018,EM-1300,BAL,Concussion,Did Not Participate In Practice,Out
382,4018,BP-0450,BAL,Knee,Did Not Participate In Practice,Out
383,4018,LT-0050,BAL,Knee,Full Participation in Practice,Probable
384,4018,TJ-1025,BAL,Knee,Full Participation in Practice,Probable
385,4018,CC-0500,BAL,Not Injury Related,Full Participation in Practice,Probable
386,4018,DS-2700,BAL,Not Injury Related,Full Participation in Practice,Probable
387,4018,JF-2800,BAL,Shoulder,Full Participation in Practice,Probable
388,4018,RM-3850,BAL,Thigh,Limited Participation in Practice,Questionable
389,4018,JE-0450,OAK,Ankle,Did Not Participate In Practice,Out
390,4018,JO-0550,OAK,Ankle,Did Not Participate In Practice,Out
391,4018,BM-0750,OAK,Knee,Did Not Participate In Practice,Out
392,4018,DC-0725,OAK,Right Hand,Full Participation in Practice,Probable
393,4018,CW-3700,OAK,Shoulder,Limited Participation in Practice,Questionable
394,4019,RG-1825,DAL,Ankle,Did Not Participate In Practice,Out
395,4019,TR-0800,DAL,Back,Full Participation in Practice,Probable
396,4019,DB-5300,DAL,Foot,Did Not Participate In Practice,Out
397,4019,RL-0350,DAL,Groin,Did Not Participate In Practice,Doubtful
398,4019,JH-0860,DAL,Knee,Did Not Participate In Practice,Questionable
399,4019,LW-1150,DAL,Not Injury Related,Did Not Participate In Practice,Probable
400,4019,SA-0500,PHI,Concussion,Did Not Participate In Practice,Out
401,4019,MS-2550,PHI,Hamstring,Full Participation in Practice,Probable
402,4020,MB-5100,GB,Calf,Limited Participation in Practice,Questionable
403,4020,BB-3700,GB,Knee,Did Not Participate In Practice,Out
404,4020,JE-0350,GB,Quadricep,Limited Participation in Practice,Probable
405,4020,RC-1500,GB,Shoulder,Limited Participation in Practice,Probable
406,4020,BW-0150,SEA,Ankle,Full Participation in Practice,Probable
407,4020,MB-1900,SEA,Ankle,Full Participation in Practice,Probable
408,4020,DD-1800,SEA,Back,Full Participation in Practice,Probable
